Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#7bd8474a-c91a-44d5-8e6f-783f717516af begin trace,$,,,,6,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,7bd8474a-c91a-44d5-8e6f-783f717516af,1,"{""RefNo"":""5569046"",""RequestFunction"":1,""ChangeStatus"":2,""ItemRefUID"":[""329d62cb-97c8-4d12-ae3a-f7b05118f9fe"",""b614b209-01d6-4012-b59e-bb5363ff7645""],""RequestBy"":""admin""}",
TRACE,Tracing#7bd8474a-c91a-44d5-8e6f-783f717516af execute time:56967 ms end trace,$,,,,24,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,7bd8474a-c91a-44d5-8e6f-783f717516af,2,"{""Success"":false,""Message"":""SO#5569046 正在處理，請稍後"",""InnerException"":null,""Content"":{""IsComplete"":false,""Message"":null},""TypeCode"":800}",
TRACE,Tracing#12c71820-8d22-461f-bcf8-16002719abaa begin trace,$,,,,25,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,12c71820-8d22-461f-bcf8-16002719abaa,1,"{""RefNo"":""5569046"",""RequestFunction"":1,""ChangeStatus"":2,""ItemRefUID"":[""329d62cb-97c8-4d12-ae3a-f7b05118f9fe"",""b614b209-01d6-4012-b59e-bb5363ff7645""],""RequestBy"":""admin""}",
TRACE,Tracing#12c71820-8d22-461f-bcf8-16002719abaa execute time:5581 ms end trace,$,,,,25,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,12c71820-8d22-461f-bcf8-16002719abaa,2,"{""Success"":false,""Message"":""SO#5569046 is processing, please wait"",""InnerException"":null,""Content"":{""IsComplete"":false,""Message"":null},""TypeCode"":800}",
TRACE,Tracing#cdc710da-95f8-4958-87c9-4abfdfd1b58e begin trace,$,,,,24,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,cdc710da-95f8-4958-87c9-4abfdfd1b58e,1,"{""RefNo"":""5569046"",""RequestFunction"":1,""ChangeStatus"":2,""ItemRefUID"":[""329d62cb-97c8-4d12-ae3a-f7b05118f9fe"",""b614b209-01d6-4012-b59e-bb5363ff7645""],""RequestBy"":""admin""}",
TRACE,Tracing#cdc710da-95f8-4958-87c9-4abfdfd1b58e execute time:9372 ms end trace,$,,,,40,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,cdc710da-95f8-4958-87c9-4abfdfd1b58e,2,"{""Success"":false,""Message"":""SO#5569046 is processing, please wait"",""InnerException"":null,""Content"":{""IsComplete"":false,""Message"":null},""TypeCode"":800}",
TRACE,Tracing#20c8456b-fff2-4f46-ba0c-f62f52ae9119 begin trace,$,,,,8,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,20c8456b-fff2-4f46-ba0c-f62f52ae9119,1,"{""RefNo"":""5569046"",""RequestFunction"":1,""ChangeStatus"":2,""ItemRefUID"":[""329d62cb-97c8-4d12-ae3a-f7b05118f9fe"",""b614b209-01d6-4012-b59e-bb5363ff7645""],""RequestBy"":""admin""}",
TRACE,Tracing#20c8456b-fff2-4f46-ba0c-f62f52ae9119 execute time:0 ms end trace,$,,,,25,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,20c8456b-fff2-4f46-ba0c-f62f52ae9119,2,"{""Success"":false,""Message"":""SO#5569046 is processing, please wait"",""InnerException"":null,""Content"":{""IsComplete"":false,""Message"":null},""TypeCode"":800}",
TRACE,Tracing#a0631398-1c9f-44c9-a185-d3f5e2b29f63 begin trace,$,,,,9,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,a0631398-1c9f-44c9-a185-d3f5e2b29f63,1,"{""RefNo"":""5569046"",""RequestFunction"":1,""ChangeStatus"":2,""ItemRefUID"":[""329d62cb-97c8-4d12-ae3a-f7b05118f9fe"",""b614b209-01d6-4012-b59e-bb5363ff7645""],""RequestBy"":""admin""}",
TRACE,Tracing#a0631398-1c9f-44c9-a185-d3f5e2b29f63 execute time:44 ms end trace,$,,,,10,PickAll,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,a0631398-1c9f-44c9-a185-d3f5e2b29f63,2,"{""Success"":false,""Message"":null,""InnerException"":null,""Content"":{""IsComplete"":false,""Message"":""SO#5569046 is processing, please wait"",""ErrorCode"":800},""TypeCode"":null}",
